,,,Output (Tunisian),Output (Tunisian),Output (Tunisian),Total Reward,Total Reward,Total Reward
10,Write in Derja 's name ' ; cane ' ;,اكتب 'قصب' بالدارجة.,ترجم لهنا بالعربي التونسي اكتب بالدارجة ' ؛ عصا ' ؛,ترجم لهنا لغارا تونسي اكتب بالدارجة ' ؛ عصا ' ؛,ترجم لهنا بالعربي التونسي اكتب بالدارجة ' ؛ عصا ' ؛,1.2,1.44,1.2
11,To take a risk:,جازف,ترجم لهنا بالعربيه التونسي,ترجم لهنا لغارا تونسي,ترجم لهنا بالعربيه التونسي,0.53,1.06,0.53
12,Seek hide and seek,غميضه,ترجم لهنا بالعربي التونسي,ترجم لعبسي تونسي,ترجم لهنا بالعربي التونسي,0.79,1.69,0.79
13,"Can you give me the 'calmness, quiet'?",تنجم تعطيني 'هدوء'؟,ترجم لهنا بالعربي التونسي: تنجم تعطيني 'هدوء'؟,ترجم لعبسي تونسي: تنجم تعطيني 'هدوء'؟,ترجم لهنا بالعربي التونسي: تنجم تعطيني 'هدوء'؟,3.43,3.94,3.43
14,Translate 'renew' please.,ترجم 'جدد' بربي.,ترجم لهنا بالعربي التونسي: ترجم 'تجديد' بربي.,ترجم لهنا لغارا تونسي: ترجم 'تجديد' بربي.,ترجم لهنا بالعربي التونسي: ترجم 'تجديد' بربي.,1.86,1.97,1.86
15,Translate 'census' please .,ترجم 'احصاء' بربي.,ترجم لهنا بالعربي التونسي: ترجم 'احصاء' بربي.,ترجم لهنا بالعربي التونسي: ترجم 'احصاء' بربي.,ترجم لهنا بالعربي التونسي: ترجم 'احصاء' بربي.,2.87,2.87,2.87
16,Where is the 'idol worship'?,وين 'عباده الاصنام'؟,ترجم لهنا بالعربي التونسي: وين 'عباده الاصنام'؟,ترجم لهنا لغارا تونسي: وين 'عباده الصنابل'؟,ترجم لهنا بالعربي التونسي: وين 'عباده الاصنام'؟,2.6,1.9,2.6
17,What does the 'accounting department' mean?,شنوة معناها 'دائره المحاسبات'؟,ترجم لهنا بالعربي التونسي: شنوة معناها 'محاسبه'؟,ترجم لهنا لغارا تونسي: شنوة معناها 'قسم المحاسبات'؟,ترجم لهنا بالعربي التونسي: شنوة معناها 'قسم المحاسبات'؟,1.51,2.12,2.09
18,None,,ترجم لهنا بالعربيه التونسي,ترجم لهنا لغارا تونسي,ترجم هذا لغات عربيه تونسيه,0.0,0.0,0.0
19,"Do you have 'view, panorama'?",عندك 'منظر'؟,ترجم لهنا بالعربي التونسي: عندك 'منظر'؟,ترجم لعبسي تونسي: عندك 'منظر'؟,ترجم لهنا بالعربي التونسي: عندك 'منظر'؟,3.13,3.77,3.13
20,"What does 'excellent, superb' mean?",شنوة معناها 'ممتاز'؟,ترجم لهنا بالعربي التونسي: شنوة معناها 'ممتاز'؟,ترجم لهنا لغارا تونسي: شنوة معناها 'ممتاز'؟,ترجم لهنا بالعربي التونسي: شنوة معناها 'ممتاز'؟,3.32,3.55,3.32
