,ID,Model,Input,Output,Vocab (TN),Syntax (MSA),Semantic,Total
50,11,GRPO Final,To take a risk:,ترجم لهنا لغارا تونسي,0.0,0.9,0.16,1.06
10,11,Initial SFT,To take a risk:,ترجم لهنا بالعربيه التونسي,0.0,0.4,0.13,0.53
30,11,DPO Dialect,To take a risk:,ترجم هي الى العربيه التونسية,0.0,0.2,0.12,0.32
51,12,GRPO Final,Seek hide and seek,ترجم هكا للون تونسي,0.0,1.22,0.17,1.39
11,12,Initial SFT,Seek hide and seek,ترجم للفريسي التونسي,0.0,1.12,0.16,1.28
31,12,DPO Dialect,Seek hide and seek,ترجم هذا الي العربيه التونسي,0.0,0.38,0.12,0.5
12,13,Initial SFT,"Can you give me the 'calmness, quiet'?",ترجم لعربي تونسي: تنجم تعطيني 'هدوء'؟,2.0,1.27,0.68,3.94
52,13,GRPO Final,"Can you give me the 'calmness, quiet'?",ترجم لعربي تونسي: تنجم تعطيني 'هدوء'؟,2.0,1.27,0.68,3.94
32,13,DPO Dialect,"Can you give me the 'calmness, quiet'?",ترجم للي عربي التونسي,0.0,0.98,0.35,1.33
13,14,Initial SFT,Translate 'renew' please.,ترجم هذا لغتو تونسي العربي: ترجم 'جدد' بربي.,2.0,0.0,0.53,2.53
53,14,GRPO Final,Translate 'renew' please.,ترجم ل العربي التونسي 'تجديد' بربي.,1.33,0.5,0.63,2.46
33,14,DPO Dialect,Translate 'renew' please.,ترجم لهنا بالعربي التونسي: ترجم 'تجديده' بربي.,1.33,0.0,0.52,1.85
54,15,GRPO Final,Translate 'census' please .,ترجم لعربي تونسي 'حسابي' بربي.,1.33,1.2,0.62,3.16
14,15,Initial SFT,Translate 'census' please .,ترجم لهنا ل العربيه التونسيه 'حصاء' بربي.,1.33,0.54,0.58,2.45
34,15,DPO Dialect,Translate 'census' please .,ترجم هذا للغا العربي التونسي 'احصاء' بربي .,1.33,0.42,0.59,2.34
55,16,GRPO Final,Where is the 'idol worship'?,ترجم ل العربي التونسي: وين 'عباده الصنفار'؟,1.33,0.0,0.57,1.9
35,16,DPO Dialect,Where is the 'idol worship'?,ترجم بهذا لغتي الاريبي تونسي فين 'عباده الصينات'؟,0.67,0.0,0.52,1.19
15,16,Initial SFT,Where is the 'idol worship'?,ترجم لهنا بالعربيه التونسيه,0.0,0.75,0.34,1.09
16,17,Initial SFT,What does the 'accounting department' mean?,ترجم لهنا العربيه التونسييه: شنوة معناها 'ديپارتا متاع المحاسبه'؟,1.0,0.0,0.55,1.55
56,17,GRPO Final,What does the 'accounting department' mean?,ترجم لهنا لغات عربيه تونسيه شنوة معناها 'منطقة المحاسبه'؟,1.0,0.0,0.53,1.53
36,17,DPO Dialect,What does the 'accounting department' mean?,ترجم لهنا الي العربيه التونسي' شنوة معناها 'ديپارتا نت الحساب'؟,1.0,0.0,0.52,1.52
17,18,Initial SFT,None,ترجم الى اريبيه تونسيه,0.0,0.0,0.0,0.0
37,18,DPO Dialect,None,ترجم هكا لغات تونسي,0.0,0.0,0.0,0.0
57,18,GRPO Final,None,ترجم ليه بالعربيه التونسي:,0.0,0.0,0.0,0.0
58,19,GRPO Final,"Do you have 'view, panorama'?",ترجم ل عربيه تونسيه 'منظر'؟,1.0,1.38,0.51,2.89
38,19,DPO Dialect,"Do you have 'view, panorama'?",ترجم لهنا بالعربيه التونسيه: عندك 'رؤيه'؟,1.0,0.54,0.34,1.88
18,19,Initial SFT,"Do you have 'view, panorama'?",ترجم هذا الى العربيه التونسيه: عندك 'وانوما'؟,1.0,0.3,0.32,1.62
59,20,GRPO Final,"What does 'excellent, superb' mean?",ترجم لهنا بالعربي التونسي: شنوة معناها 'موهبه'؟,1.33,0.73,0.48,2.54
19,20,Initial SFT,"What does 'excellent, superb' mean?",ترجم لهنا بالعربي التونسي ما معناها 'مرون'؟,0.67,0.92,0.44,2.03
39,20,DPO Dialect,"What does 'excellent, superb' mean?",ترجم للي العربي تونسي,0.0,1.02,0.1,1.11
